source,target,n,record_type,variable_a,variable_b,column_a,column_b,spearman_r,model,ready,total
Composition,M0,255.0,network,,,,,,,,
Composition,M1,255.0,network,,,,,,,,
Site occupancy,M1,245.0,network,,,,,,,,
Site occupancy,M2,245.0,network,,,,,,,,
PL / PLE,M2,73.0,network,,,,,,,,
PL / PLE,M3,53.0,network,,,,,,,,
PL / PLE,M5,170.0,network,,,,,,,,
Crystal structure,M1,32.0,network,,,,,,,,
Crystal structure,M2,32.0,network,,,,,,,,
Crystal structure,M3,32.0,network,,,,,,,,
Ceramic process,M5,255.0,network,,,,,,,,
Physical descriptors,M0,131.0,network,,,,,,,,
Physical descriptors,M2,132.0,network,,,,,,,,
Physical descriptors,M3,132.0,network,,,,,,,,
Source provenance,M0,255.0,network,,,,,,,,
Source provenance,M1,255.0,network,,,,,,,,
Source provenance,M2,255.0,network,,,,,,,,
Source provenance,M3,255.0,network,,,,,,,,
Source provenance,M5,255.0,network,,,,,,,,
,,42.0,correlation,Sc(B),AO8 volume,BC_Sc_fraction,a_o_polyhedron_volume_a3,0.7839329524043046,,,
,,52.0,correlation,Sc(B),Distortion,BC_Sc_fraction,bond_distortion_index,0.10378563166853637,,,
,,54.0,correlation,Sc(B),5d1 energy,BC_Sc_fraction,excitation_5d1_ev,0.3799736288939219,,,
,,132.0,correlation,Sc(B),Emission,BC_Sc_fraction,emission_peak_nm,-0.20198353075690587,,,
,,53.0,correlation,Sc(B),Stokes,BC_Sc_fraction,stokes_shift_ev,-0.19472628556288568,,,
,,111.0,correlation,Sc(B),Sintering T,BC_Sc_fraction,sintering_temperature_c,-0.33362934702321706,,,
,,116.0,correlation,Sc(B),Thickness,BC_Sc_fraction,sample_thickness_mm,0.14329915405284427,,,
,,46.0,correlation,Sc(B),Grain size,BC_Sc_fraction,grain_size_um,,,,
,,97.0,correlation,Lattice a,Ce(A),lattice_a_angstrom,A_Ce_fraction,0.34789122993670746,,,
,,97.0,correlation,Lattice a,Ga(B/C),lattice_a_angstrom,BC_Ga_fraction,0.13760787834832894,,,
,,97.0,correlation,Lattice a,Al(B/C),lattice_a_angstrom,BC_Al_fraction,-0.6743014220100931,,,
,,97.0,correlation,Lattice a,Sc(B),lattice_a_angstrom,BC_Sc_fraction,0.5846127670960762,,,
,,97.0,correlation,Lattice a,Lattice a,lattice_a_angstrom,lattice_a_angstrom,1.0,,,
,,52.0,correlation,Lattice a,A–O,lattice_a_angstrom,a_o_bond_mean_angstrom,0.871064277138433,,,
,,42.0,correlation,Lattice a,AO8 volume,lattice_a_angstrom,a_o_polyhedron_volume_a3,0.82576153341884,,,
,,50.0,correlation,Lattice a,Distortion,lattice_a_angstrom,bond_distortion_index,0.2102998193780278,,,
,,35.0,correlation,Lattice a,5d1 energy,lattice_a_angstrom,excitation_5d1_ev,0.07332658115184718,,,
,,97.0,correlation,Lattice a,Emission,lattice_a_angstrom,emission_peak_nm,0.1464106174655984,,,
,,35.0,correlation,Lattice a,Stokes,lattice_a_angstrom,stokes_shift_ev,0.15368718853925428,,,
,,81.0,correlation,Lattice a,Sintering T,lattice_a_angstrom,sintering_temperature_c,-0.3055177266434651,,,
,,83.0,correlation,Lattice a,Thickness,lattice_a_angstrom,sample_thickness_mm,0.3700772173710044,,,
,,26.0,correlation,Lattice a,Grain size,lattice_a_angstrom,grain_size_um,0.28052099391473206,,,
,,54.0,correlation,A–O,Ce(A),a_o_bond_mean_angstrom,A_Ce_fraction,0.35141836949583966,,,
,,54.0,correlation,A–O,Ga(B/C),a_o_bond_mean_angstrom,BC_Ga_fraction,0.12905023200008542,,,
,,54.0,correlation,A–O,Al(B/C),a_o_bond_mean_angstrom,BC_Al_fraction,-0.8784313619690628,,,
,,54.0,correlation,A–O,Sc(B),a_o_bond_mean_angstrom,BC_Sc_fraction,0.8431400205741816,,,
,,52.0,correlation,A–O,Lattice a,a_o_bond_mean_angstrom,lattice_a_angstrom,0.871064277138433,,,
,,54.0,correlation,A–O,A–O,a_o_bond_mean_angstrom,a_o_bond_mean_angstrom,1.0,,,
,,41.0,correlation,A–O,AO8 volume,a_o_bond_mean_angstrom,a_o_polyhedron_volume_a3,0.960806656220677,,,
,,50.0,correlation,A–O,Distortion,a_o_bond_mean_angstrom,bond_distortion_index,0.27549441140593994,,,
,,30.0,correlation,A–O,5d1 energy,a_o_bond_mean_angstrom,excitation_5d1_ev,0.23506158185905396,,,
,,54.0,correlation,A–O,Emission,a_o_bond_mean_angstrom,emission_peak_nm,-0.004090462706941762,,,
,,30.0,correlation,A–O,Stokes,a_o_bond_mean_angstrom,stokes_shift_ev,0.1273862370718497,,,
,,52.0,correlation,A–O,Sintering T,a_o_bond_mean_angstrom,sintering_temperature_c,-0.4953659765584191,,,
,,48.0,correlation,A–O,Thickness,a_o_bond_mean_angstrom,sample_thickness_mm,0.38699955122699214,,,
,,11.0,correlation,A–O,Grain size,a_o_bond_mean_angstrom,grain_size_um,-0.37638948744522666,,,
,,42.0,correlation,AO8 volume,Ce(A),a_o_polyhedron_volume_a3,A_Ce_fraction,0.4171175690795665,,,
,,42.0,correlation,AO8 volume,Ga(B/C),a_o_polyhedron_volume_a3,BC_Ga_fraction,0.45048034650167507,,,
,,42.0,correlation,AO8 volume,Al(B/C),a_o_polyhedron_volume_a3,BC_Al_fraction,-0.9627953994157935,,,
,,42.0,correlation,AO8 volume,Sc(B),a_o_polyhedron_volume_a3,BC_Sc_fraction,0.7839329524043047,,,
,,42.0,correlation,AO8 volume,Lattice a,a_o_polyhedron_volume_a3,lattice_a_angstrom,0.82576153341884,,,
,,41.0,correlation,AO8 volume,A–O,a_o_polyhedron_volume_a3,a_o_bond_mean_angstrom,0.960806656220677,,,
,,42.0,correlation,AO8 volume,AO8 volume,a_o_polyhedron_volume_a3,a_o_polyhedron_volume_a3,0.9999999999999998,,,
,,42.0,correlation,AO8 volume,Distortion,a_o_polyhedron_volume_a3,bond_distortion_index,0.6803673752116733,,,
,,17.0,correlation,AO8 volume,5d1 energy,a_o_polyhedron_volume_a3,excitation_5d1_ev,0.8825503355704699,,,
,,42.0,correlation,AO8 volume,Emission,a_o_polyhedron_volume_a3,emission_peak_nm,-0.6015025034260307,,,
,,17.0,correlation,AO8 volume,Stokes,a_o_polyhedron_volume_a3,stokes_shift_ev,-0.8914407813571615,,,
,,42.0,correlation,AO8 volume,Sintering T,a_o_polyhedron_volume_a3,sintering_temperature_c,-0.7085263916196071,,,
,,36.0,correlation,AO8 volume,Thickness,a_o_polyhedron_volume_a3,sample_thickness_mm,0.19844374487171484,,,
,,12.0,correlation,AO8 volume,Grain size,a_o_polyhedron_volume_a3,grain_size_um,-0.2602373921849157,,,
,,52.0,correlation,Distortion,Ce(A),bond_distortion_index,A_Ce_fraction,0.27492170686423073,,,
,,52.0,correlation,Distortion,Ga(B/C),bond_distortion_index,BC_Ga_fraction,0.0010285921751405655,,,
,,52.0,correlation,Distortion,Al(B/C),bond_distortion_index,BC_Al_fraction,-0.1803187563312926,,,
,,52.0,correlation,Distortion,Sc(B),bond_distortion_index,BC_Sc_fraction,0.10378563166853638,,,
,,50.0,correlation,Distortion,Lattice a,bond_distortion_index,lattice_a_angstrom,0.21029981937802783,,,
,,50.0,correlation,Distortion,A–O,bond_distortion_index,a_o_bond_mean_angstrom,0.27549441140593994,,,
,,42.0,correlation,Distortion,AO8 volume,bond_distortion_index,a_o_polyhedron_volume_a3,0.6803673752116733,,,
,,52.0,correlation,Distortion,Distortion,bond_distortion_index,bond_distortion_index,1.0,,,
,,26.0,correlation,Distortion,5d1 energy,bond_distortion_index,excitation_5d1_ev,0.6696929177087266,,,
,,52.0,correlation,Distortion,Emission,bond_distortion_index,emission_peak_nm,-0.18824648797530327,,,
,,26.0,correlation,Distortion,Stokes,bond_distortion_index,stokes_shift_ev,-0.20775389944339986,,,
,,49.0,correlation,Distortion,Sintering T,bond_distortion_index,sintering_temperature_c,-0.4079723983880291,,,
,,46.0,correlation,Distortion,Thickness,bond_distortion_index,sample_thickness_mm,-0.15559610601217305,,,
,,13.0,correlation,Distortion,Grain size,bond_distortion_index,grain_size_um,-0.16610790689998436,,,
,,54.0,correlation,5d1 energy,Ce(A),excitation_5d1_ev,A_Ce_fraction,0.2464650143123079,,,
,,54.0,correlation,5d1 energy,Ga(B/C),excitation_5d1_ev,BC_Ga_fraction,0.16498425593337268,,,
,,54.0,correlation,5d1 energy,Al(B/C),excitation_5d1_ev,BC_Al_fraction,-0.5167884589746665,,,
,,54.0,correlation,5d1 energy,Sc(B),excitation_5d1_ev,BC_Sc_fraction,0.37997362889392183,,,
,,35.0,correlation,5d1 energy,Lattice a,excitation_5d1_ev,lattice_a_angstrom,0.07332658115184718,,,
,,30.0,correlation,5d1 energy,A–O,excitation_5d1_ev,a_o_bond_mean_angstrom,0.235061581859054,,,
,,17.0,correlation,5d1 energy,AO8 volume,excitation_5d1_ev,a_o_polyhedron_volume_a3,0.8825503355704699,,,
,,26.0,correlation,5d1 energy,Distortion,excitation_5d1_ev,bond_distortion_index,0.6696929177087267,,,
,,54.0,correlation,5d1 energy,5d1 energy,excitation_5d1_ev,excitation_5d1_ev,1.0,,,
,,54.0,correlation,5d1 energy,Emission,excitation_5d1_ev,emission_peak_nm,-0.6504787174185224,,,
,,53.0,correlation,5d1 energy,Stokes,excitation_5d1_ev,stokes_shift_ev,-0.22054893832674063,,,
,,49.0,correlation,5d1 energy,Sintering T,excitation_5d1_ev,sintering_temperature_c,-0.43492821334871173,,,
,,46.0,correlation,5d1 energy,Thickness,excitation_5d1_ev,sample_thickness_mm,-0.3844476438343868,,,
,,18.0,correlation,5d1 energy,Grain size,excitation_5d1_ev,grain_size_um,-0.18393738242198987,,,
,,132.0,correlation,Emission,Ce(A),emission_peak_nm,A_Ce_fraction,-0.027846043019477257,,,
,,132.0,correlation,Emission,Ga(B/C),emission_peak_nm,BC_Ga_fraction,-0.33374511197482865,,,
,,132.0,correlation,Emission,Al(B/C),emission_peak_nm,BC_Al_fraction,0.3625040182154347,,,
,,132.0,correlation,Emission,Sc(B),emission_peak_nm,BC_Sc_fraction,-0.20198353075690587,,,
,,97.0,correlation,Emission,Lattice a,emission_peak_nm,lattice_a_angstrom,0.1464106174655984,,,
,,54.0,correlation,Emission,A–O,emission_peak_nm,a_o_bond_mean_angstrom,-0.004090462706941762,,,
,,42.0,correlation,Emission,AO8 volume,emission_peak_nm,a_o_polyhedron_volume_a3,-0.6015025034260307,,,
,,52.0,correlation,Emission,Distortion,emission_peak_nm,bond_distortion_index,-0.1882464879753033,,,
,,54.0,correlation,Emission,5d1 energy,emission_peak_nm,excitation_5d1_ev,-0.6504787174185224,,,
,,132.0,correlation,Emission,Emission,emission_peak_nm,emission_peak_nm,1.0,,,
,,53.0,correlation,Emission,Stokes,emission_peak_nm,stokes_shift_ev,0.8259683706926206,,,
,,111.0,correlation,Emission,Sintering T,emission_peak_nm,sintering_temperature_c,0.23133238732111228,,,
,,116.0,correlation,Emission,Thickness,emission_peak_nm,sample_thickness_mm,-0.11550767887580184,,,
,,46.0,correlation,Emission,Grain size,emission_peak_nm,grain_size_um,0.3221341482575286,,,
,,53.0,correlation,Stokes,Ce(A),stokes_shift_ev,A_Ce_fraction,-0.020050280889766077,,,
,,53.0,correlation,Stokes,Ga(B/C),stokes_shift_ev,BC_Ga_fraction,-0.08255279530548079,,,
,,53.0,correlation,Stokes,Al(B/C),stokes_shift_ev,BC_Al_fraction,0.2635293055632327,,,
,,53.0,correlation,Stokes,Sc(B),stokes_shift_ev,BC_Sc_fraction,-0.19472628556288565,,,
,,35.0,correlation,Stokes,Lattice a,stokes_shift_ev,lattice_a_angstrom,0.15368718853925428,,,
,,30.0,correlation,Stokes,A–O,stokes_shift_ev,a_o_bond_mean_angstrom,0.12738623707184968,,,
,,17.0,correlation,Stokes,AO8 volume,stokes_shift_ev,a_o_polyhedron_volume_a3,-0.8914407813571615,,,
,,26.0,correlation,Stokes,Distortion,stokes_shift_ev,bond_distortion_index,-0.2077538994433999,,,
,,53.0,correlation,Stokes,5d1 energy,stokes_shift_ev,excitation_5d1_ev,-0.22054893832674063,,,
,,53.0,correlation,Stokes,Emission,stokes_shift_ev,emission_peak_nm,0.8259683706926206,,,
,,53.0,correlation,Stokes,Stokes,stokes_shift_ev,stokes_shift_ev,1.0,,,
,,48.0,correlation,Stokes,Sintering T,stokes_shift_ev,sintering_temperature_c,0.11242528493739723,,,
,,45.0,correlation,Stokes,Thickness,stokes_shift_ev,sample_thickness_mm,-0.06441497600959592,,,
,,18.0,correlation,Stokes,Grain size,stokes_shift_ev,grain_size_um,0.3246100986337501,,,
,,111.0,correlation,Sintering T,Ce(A),sintering_temperature_c,A_Ce_fraction,-0.5441589478990165,,,
,,111.0,correlation,Sintering T,Ga(B/C),sintering_temperature_c,BC_Ga_fraction,-0.5592528561075842,,,
,,111.0,correlation,Sintering T,Al(B/C),sintering_temperature_c,BC_Al_fraction,0.7253901299116627,,,
,,111.0,correlation,Sintering T,Sc(B),sintering_temperature_c,BC_Sc_fraction,-0.33362934702321706,,,
,,81.0,correlation,Sintering T,Lattice a,sintering_temperature_c,lattice_a_angstrom,-0.3055177266434651,,,
,,52.0,correlation,Sintering T,A–O,sintering_temperature_c,a_o_bond_mean_angstrom,-0.495365976558419,,,
,,42.0,correlation,Sintering T,AO8 volume,sintering_temperature_c,a_o_polyhedron_volume_a3,-0.708526391619607,,,
,,49.0,correlation,Sintering T,Distortion,sintering_temperature_c,bond_distortion_index,-0.40797239838802907,,,
,,49.0,correlation,Sintering T,5d1 energy,sintering_temperature_c,excitation_5d1_ev,-0.43492821334871173,,,
,,111.0,correlation,Sintering T,Emission,sintering_temperature_c,emission_peak_nm,0.23133238732111225,,,
,,48.0,correlation,Sintering T,Stokes,sintering_temperature_c,stokes_shift_ev,0.11242528493739723,,,
,,111.0,correlation,Sintering T,Sintering T,sintering_temperature_c,sintering_temperature_c,0.9999999999999999,,,
,,95.0,correlation,Sintering T,Thickness,sintering_temperature_c,sample_thickness_mm,-0.11606477739738719,,,
,,42.0,correlation,Sintering T,Grain size,sintering_temperature_c,grain_size_um,0.4375653372949577,,,
,,116.0,correlation,Thickness,Ce(A),sample_thickness_mm,A_Ce_fraction,0.06196625072699219,,,
,,116.0,correlation,Thickness,Ga(B/C),sample_thickness_mm,BC_Ga_fraction,0.3234510394097556,,,
,,116.0,correlation,Thickness,Al(B/C),sample_thickness_mm,BC_Al_fraction,-0.3855115389188625,,,
,,116.0,correlation,Thickness,Sc(B),sample_thickness_mm,BC_Sc_fraction,0.14329915405284427,,,
,,83.0,correlation,Thickness,Lattice a,sample_thickness_mm,lattice_a_angstrom,0.37007721737100435,,,
,,48.0,correlation,Thickness,A–O,sample_thickness_mm,a_o_bond_mean_angstrom,0.38699955122699214,,,
,,36.0,correlation,Thickness,AO8 volume,sample_thickness_mm,a_o_polyhedron_volume_a3,0.19844374487171484,,,
,,46.0,correlation,Thickness,Distortion,sample_thickness_mm,bond_distortion_index,-0.15559610601217305,,,
